Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
ACP1,N/A,N/A,N/A,N/A,N/A,N/A
EYA4,N/A,N/A,N/A,N/A,N/A,N/A
PLA2G2F,N/A,N/A,N/A,N/A,N/A,N/A
NBR2,N/A,N/A,N/A,N/A,N/A,N/A
ZBTB33,N/A,N/A,N/A,N/A,N/A,N/A
MIR6076,N/A,N/A,N/A,N/A,N/A,N/A
4-methoxyhonokiol,N/A,N/A,N/A,N/A,N/A,N/A
SLC33A1,N/A,N/A,N/A,N/A,N/A,N/A
Hyaluronidase,N/A,N/A,N/A,N/A,N/A,N/A
GEBR-7b,N/A,N/A,N/A,N/A,N/A,N/A
DNAJA1,N/A,N/A,N/A,N/A,N/A,N/A
PRKAR,N/A,N/A,N/A,N/A,N/A,N/A
vistusertib,N/A,N/A,N/A,N/A,N/A,N/A
VCAM1,N/A,N/A,N/A,N/A,N/A,N/A
2-nitrotoluene,N/A,N/A,N/A,N/A,N/A,N/A
ATXN8OS,N/A,N/A,N/A,N/A,N/A,N/A
CKS2,N/A,N/A,N/A,N/A,N/A,N/A
S100A14,N/A,N/A,N/A,N/A,N/A,N/A
FCGR2B,N/A,N/A,N/A,N/A,N/A,N/A
EDF1,N/A,N/A,N/A,N/A,N/A,N/A
PPIP5K1,N/A,N/A,N/A,N/A,N/A,N/A
4-(benzylamino)-2-((2-(3-chloro-4-hydroxyphenyl)ethyl)amino)pyrimidine-5-carboxamide,N/A,N/A,N/A,N/A,N/A,N/A
Cd2+,N/A,N/A,N/A,N/A,N/A,N/A
CIDEB,N/A,N/A,N/A,N/A,N/A,N/A
ZFYVE9,N/A,N/A,N/A,N/A,N/A,N/A
KLKB1,N/A,N/A,N/A,N/A,N/A,N/A
linalool,N/A,N/A,N/A,N/A,N/A,N/A
NOC2L,N/A,N/A,N/A,N/A,N/A,N/A
TROAP,N/A,N/A,N/A,N/A,N/A,N/A
TFIIH,N/A,N/A,N/A,N/A,N/A,N/A
protease,N/A,N/A,N/A,N/A,N/A,N/A
LGALS9,N/A,N/A,N/A,N/A,N/A,N/A
Ifna4,N/A,N/A,N/A,N/A,N/A,N/A
FBP1,N/A,N/A,N/A,N/A,N/A,N/A
CASP8AP2,N/A,N/A,N/A,N/A,N/A,N/A
RADA16-4G-BMHP1,N/A,N/A,N/A,N/A,N/A,N/A
pycnogenols,N/A,N/A,N/A,N/A,N/A,N/A
DREAM complex:CDC6 gene,N/A,N/A,N/A,N/A,N/A,N/A
pipoxolan,N/A,N/A,N/A,N/A,N/A,N/A
LINC01503,N/A,N/A,N/A,N/A,N/A,N/A
SPINT2,N/A,N/A,N/A,N/A,N/A,N/A
candesartan cilexetil,N/A,0,N/A,N/A,N/A,N/A
methyl cellosolve,N/A,N/A,N/A,N/A,N/A,N/A
GNG2,N/A,N/A,N/A,N/A,N/A,N/A
I-BOP,N/A,N/A,N/A,N/A,N/A,N/A
ATP6V0A2,N/A,N/A,N/A,N/A,N/A,N/A
"CREB:CRTC1,2,3:PPARGC1A gene",N/A,N/A,N/A,N/A,N/A,N/A
TSKU,N/A,N/A,N/A,N/A,N/A,N/A
TXNDC12,N/A,N/A,N/A,N/A,N/A,N/A
KHDRBS2,N/A,N/A,N/A,N/A,N/A,N/A
DIAP,N/A,N/A,N/A,N/A,N/A,N/A
tasquinimod,N/A,N/A,N/A,N/A,N/A,N/A
ATMIN,N/A,N/A,N/A,N/A,N/A,N/A
SYNJ2BP,N/A,N/A,N/A,N/A,N/A,N/A
MECP2:SIN3A:HDAC1:BDNF gene,N/A,N/A,N/A,N/A,N/A,N/A
PX-866,N/A,N/A,N/A,N/A,N/A,N/A
EIF2B2,N/A,N/A,N/A,N/A,N/A,N/A
S100A7,N/A,N/A,N/A,N/A,N/A,N/A
PFK-15,N/A,N/A,N/A,N/A,N/A,N/A
"N-[amino(dimethylamino)methylidene]-4-[(3aS,9bR)-8-ethoxy-7-methoxy-1,3,3a,9b-tetrahydrofuro[3,4-c]isoquinolin-5-yl]benzamide",N/A,N/A,0,N/A,N/A,N/A
ladostigil,N/A,N/A,N/A,N/A,N/A,N/A
GPBP1,N/A,N/A,N/A,N/A,N/A,N/A
L-aspartic acid,N/A,N/A,N/A,N/A,N/A,N/A
norethindrone acetate,N/A,N/A,N/A,N/A,N/A,N/A
Carmn,N/A,N/A,N/A,N/A,N/A,N/A
BW-755C,N/A,N/A,N/A,N/A,N/A,N/A
MAP1S,N/A,N/A,N/A,N/A,N/A,N/A
BAD,N/A,N/A,N/A,N/A,N/A,N/A
G protein beta gamma core,N/A,N/A,N/A,N/A,N/A,N/A
IFNLR1,N/A,N/A,N/A,N/A,N/A,N/A
CNOT6L,N/A,N/A,N/A,N/A,N/A,N/A
TJP2,N/A,N/A,N/A,N/A,N/A,N/A
AUH-6-96,N/A,N/A,N/A,N/A,N/A,N/A
FOLR1,N/A,N/A,N/A,N/A,N/A,N/A
APTX,N/A,N/A,N/A,N/A,N/A,N/A
aripiprazole,N/A,N/A,N/A,N/A,N/A,N/A
HOXC-AS2,N/A,N/A,N/A,N/A,N/A,N/A
colestimide,N/A,N/A,N/A,N/A,N/A,N/A
BPNT2,N/A,N/A,N/A,N/A,N/A,N/A
ORAI3,N/A,N/A,N/A,N/A,N/A,N/A
"1,5-dihydroxyisoquinoline",N/A,N/A,N/A,N/A,N/A,N/A
PLSCR3,N/A,N/A,N/A,N/A,N/A,N/A
miR-1301-3p (and other miRNAs w/seed UGCAGCU),N/A,N/A,N/A,N/A,N/A,N/A
DSIF,N/A,N/A,N/A,N/A,N/A,N/A
XMD 8-92,N/A,N/A,N/A,N/A,N/A,N/A
WNT7B,N/A,N/A,N/A,N/A,N/A,N/A
cyclosporin H,N/A,N/A,N/A,N/A,N/A,N/A
mir-384,N/A,N/A,N/A,N/A,N/A,N/A
barasertib,N/A,N/A,N/A,N/A,N/A,N/A
ACVR1B,N/A,N/A,N/A,N/A,N/A,N/A
cadmium sulfate,N/A,N/A,N/A,N/A,N/A,N/A
HCG11,N/A,N/A,N/A,N/A,N/A,N/A
UHRF1,N/A,N/A,N/A,N/A,N/A,N/A
GFRAL,N/A,N/A,N/A,N/A,N/A,N/A
MAP3K,N/A,N/A,N/A,N/A,N/A,N/A
AI-1,N/A,N/A,N/A,N/A,N/A,N/A
hydroxyaminoindan,N/A,N/A,N/A,N/A,N/A,N/A
HOXB9,N/A,N/A,N/A,N/A,N/A,N/A
MAGEA2/MAGEA2B,N/A,N/A,N/A,N/A,N/A,N/A
CARD8,N/A,N/A,N/A,N/A,N/A,N/A
donepezil,N/A,N/A,N/A,N/A,N/A,N/A
SGC (family),N/A,N/A,N/A,N/A,N/A,N/A
IGHM,N/A,N/A,N/A,N/A,N/A,N/A
mir-297 (includes others),N/A,N/A,N/A,N/A,N/A,N/A
"E2F1:TFDP1,TFDP2",N/A,N/A,N/A,N/A,N/A,N/A
EIF2A,N/A,N/A,N/A,N/A,N/A,N/A
ARV771,N/A,N/A,N/A,N/A,N/A,N/A
RASSF6,N/A,N/A,0,N/A,N/A,N/A
uridine triacetate,N/A,N/A,N/A,N/A,N/A,N/A
MAX/MYC,N/A,N/A,N/A,N/A,N/A,N/A
Dst,N/A,N/A,N/A,N/A,N/A,N/A
selenite,N/A,N/A,N/A,N/A,N/A,N/A
IGL,N/A,N/A,N/A,N/A,N/A,N/A
2-chloro-N(6)cyclopentyladenosine,N/A,N/A,N/A,N/A,N/A,N/A
miR-1285-3p (and other miRNAs w/seed CUGGGCA),N/A,N/A,N/A,N/A,N/A,N/A
C7orf50,N/A,N/A,N/A,N/A,N/A,N/A
EPHA8,N/A,N/A,N/A,N/A,N/A,N/A
ETS1/2,N/A,N/A,N/A,N/A,N/A,N/A
cur61414,N/A,N/A,N/A,N/A,N/A,N/A
potassium nitrate,N/A,N/A,N/A,N/A,N/A,N/A
mir-551 (includes others),N/A,N/A,N/A,N/A,N/A,N/A
Ctla2a/Ctla2b,N/A,N/A,N/A,N/A,N/A,N/A
SMARCC2,N/A,N/A,N/A,N/A,N/A,N/A
nystatin,N/A,N/A,N/A,N/A,N/A,N/A
MIR10396B,N/A,N/A,N/A,N/A,N/A,N/A
CUL9,N/A,N/A,N/A,N/A,N/A,N/A
TMEM97,N/A,N/A,N/A,N/A,N/A,N/A
VANGL1,N/A,N/A,N/A,N/A,N/A,N/A
SYF2,N/A,N/A,N/A,N/A,N/A,N/A
"13,14-dihydro-15-ketoprostaglandin D2",N/A,N/A,N/A,N/A,N/A,N/A
GSDMB,N/A,N/A,N/A,N/A,N/A,N/A
MOAP1,N/A,N/A,N/A,N/A,N/A,N/A
SIVA1,N/A,N/A,N/A,N/A,N/A,N/A
SQSTM1 gene: NFE2L2:MAFG,N/A,N/A,N/A,N/A,N/A,N/A
fludarabine,N/A,N/A,N/A,N/A,N/A,N/A
3-hydroxyflavone,N/A,N/A,N/A,N/A,N/A,N/A
GAK,N/A,N/A,N/A,N/A,N/A,N/A
RX-821002,N/A,N/A,N/A,N/A,N/A,N/A
A-66,N/A,N/A,N/A,N/A,N/A,N/A
MGAT4C,N/A,N/A,N/A,N/A,N/A,N/A
"ergosterol-5,8-peroxide",N/A,N/A,N/A,N/A,N/A,N/A
NSRP1,N/A,N/A,N/A,N/A,N/A,N/A
ESRRA:PPARG1CB:RUNX2 gene,N/A,N/A,N/A,N/A,N/A,N/A
aprotinin,N/A,N/A,N/A,N/A,N/A,N/A
ANXA11,N/A,N/A,N/A,N/A,N/A,N/A
THBS2,N/A,N/A,N/A,N/A,N/A,N/A
P-TEFb,N/A,N/A,N/A,N/A,N/A,N/A
PDPN,N/A,N/A,N/A,N/A,N/A,N/A
calcium carbonate,N/A,N/A,N/A,N/A,N/A,N/A
ethylisopropylamiloride,N/A,N/A,N/A,N/A,N/A,N/A
FGD5-AS1,N/A,N/A,N/A,N/A,N/A,N/A
FLI1,N/A,N/A,N/A,N/A,N/A,N/A
3-iodothyronamine,N/A,N/A,N/A,N/A,N/A,N/A
(S)-duloxetine,N/A,N/A,N/A,N/A,N/A,N/A
"(des-Arg10,Leu9)-kallidin",N/A,N/A,N/A,N/A,N/A,N/A
PAX5-ELN,N/A,0,N/A,N/A,N/A,N/A
AKAP13,N/A,N/A,N/A,N/A,N/A,N/A
SAP18,N/A,N/A,N/A,N/A,N/A,N/A
CBLC,N/A,N/A,N/A,N/A,N/A,N/A
ARHGEF7,N/A,N/A,N/A,N/A,N/A,N/A
SMARCD2,N/A,N/A,N/A,N/A,N/A,N/A
PODXL,N/A,N/A,N/A,N/A,N/A,N/A
LINC00842,N/A,N/A,N/A,N/A,N/A,N/A
Mcpt4,N/A,N/A,N/A,N/A,N/A,N/A
MGMT,N/A,N/A,N/A,N/A,N/A,N/A
APOC1,N/A,N/A,N/A,N/A,N/A,N/A
MC4R,N/A,N/A,N/A,N/A,N/A,N/A
PELI1,N/A,N/A,N/A,N/A,N/A,N/A
"7,8-dihydroxy-4-methylcoumarin",N/A,N/A,N/A,N/A,N/A,N/A
RALBP1,N/A,N/A,N/A,N/A,N/A,N/A
CDC27,N/A,N/A,N/A,N/A,N/A,N/A
CPI-613,N/A,N/A,N/A,N/A,N/A,N/A
HTR2A,N/A,N/A,N/A,N/A,N/A,N/A
luxeptinib,N/A,N/A,N/A,N/A,N/A,N/A
pregnenolone sulfate,N/A,N/A,N/A,N/A,N/A,N/A
canertinib,N/A,N/A,N/A,N/A,N/A,N/A
NEIL2,N/A,N/A,N/A,N/A,N/A,N/A
FBXO42,N/A,N/A,N/A,N/A,N/A,N/A
CD151,N/A,N/A,N/A,N/A,N/A,N/A
MESP2,N/A,N/A,N/A,N/A,N/A,N/A
CTNNβ/LEF1,N/A,N/A,N/A,N/A,N/A,N/A
aloperine,N/A,N/A,N/A,N/A,N/A,N/A
xanthine oxidase,N/A,N/A,N/A,N/A,N/A,N/A
cyclothiazide,N/A,N/A,N/A,N/A,N/A,N/A
N4,N/A,N/A,N/A,N/A,N/A,N/A
formylmethylflavin,N/A,N/A,N/A,N/A,N/A,N/A
PRLHR,N/A,N/A,N/A,N/A,N/A,N/A
ALG6,N/A,N/A,N/A,N/A,N/A,N/A
NRG2,N/A,N/A,N/A,N/A,N/A,N/A
GPR17,N/A,N/A,N/A,N/A,N/A,N/A
caspase,N/A,N/A,N/A,N/A,N/A,N/A
bergamottin,N/A,N/A,N/A,N/A,N/A,N/A
"N,N-dimethylsphingosine",N/A,N/A,N/A,N/A,N/A,N/A
JPT2,N/A,N/A,N/A,N/A,N/A,N/A
"3,4-diaminopyridine",N/A,N/A,N/A,N/A,N/A,N/A
miR-424-5p inhibitor,N/A,N/A,N/A,N/A,N/A,N/A
deflazacort,N/A,N/A,N/A,N/A,N/A,N/A
Fetal hemoglobin,N/A,N/A,N/A,N/A,N/A,N/A
TFB1M,N/A,N/A,N/A,N/A,N/A,N/A
canrenoate potassium,N/A,N/A,N/A,N/A,N/A,N/A
MIR585,N/A,N/A,N/A,N/A,N/A,N/A
Ginkgo biloba,N/A,N/A,N/A,N/A,N/A,N/A
PYY,N/A,N/A,N/A,N/A,N/A,N/A
ritanserin,N/A,N/A,N/A,N/A,N/A,N/A
SMC1A,N/A,N/A,N/A,N/A,N/A,N/A
vinflunine,N/A,N/A,N/A,N/A,N/A,N/A
CBFB-MYH11,N/A,N/A,N/A,N/A,N/A,N/A
Snhg16,N/A,N/A,N/A,N/A,N/A,N/A
MAP2K4/7,N/A,N/A,N/A,N/A,N/A,N/A
ATF,N/A,N/A,N/A,N/A,N/A,N/A
mannosidase 2,N/A,N/A,N/A,N/A,N/A,N/A
SART1,N/A,N/A,N/A,N/A,N/A,N/A
SP6,N/A,N/A,N/A,N/A,N/A,N/A
ESR1:estrogen:TFGA gene:NCOA1:EP300,N/A,N/A,N/A,N/A,N/A,N/A
GRK3,N/A,N/A,0,N/A,N/A,N/A
IARS1,N/A,N/A,N/A,N/A,N/A,N/A
GALR1,N/A,N/A,N/A,N/A,N/A,N/A
gabapentin,N/A,N/A,N/A,N/A,N/A,N/A
TBC1D10A,N/A,N/A,N/A,N/A,N/A,N/A
IFT57,N/A,N/A,0,N/A,N/A,N/A
mir-129 (includes others),N/A,N/A,N/A,N/A,N/A,N/A
relaxin,N/A,N/A,N/A,N/A,N/A,N/A
RHEB,N/A,N/A,N/A,N/A,N/A,N/A
BV6,N/A,N/A,N/A,N/A,N/A,N/A
dihydrotetrabenazine,N/A,N/A,N/A,N/A,N/A,N/A
ENAH,N/A,N/A,N/A,N/A,N/A,N/A
CDHR1,N/A,N/A,0,N/A,N/A,N/A
arsenic trichloride,N/A,N/A,N/A,N/A,N/A,N/A
artemether,N/A,N/A,N/A,N/A,N/A,N/A
EAPB0203,N/A,N/A,N/A,N/A,N/A,N/A
MSX1,N/A,N/A,N/A,N/A,N/A,N/A
apicularen A,N/A,N/A,N/A,N/A,N/A,N/A
"TFAP2A,TFAP2C homodimers:CITED2:PITX2 Gene",N/A,N/A,N/A,N/A,N/A,N/A
10-decarbamoylmitomycin C,N/A,N/A,N/A,N/A,N/A,N/A
mir-431,N/A,N/A,N/A,N/A,N/A,N/A
SMAD1/5/9,N/A,N/A,N/A,N/A,N/A,N/A
PDZD11,N/A,N/A,N/A,N/A,N/A,N/A
N-nonyl-1-deoxynojirimycin,N/A,N/A,N/A,N/A,N/A,N/A
pituitary adenylate cyclase-activating polypeptide,N/A,N/A,N/A,N/A,N/A,N/A
"8-butyl-10-[(3-methoxy-5-pyrrol-2-ylidenepyrrol-2-ylidene)methyl]-11-azabicyclo[7.2.1]dodeca-1(12),9-diene",N/A,N/A,N/A,N/A,N/A,N/A
PDE,N/A,N/A,N/A,N/A,N/A,N/A
quizartinib,N/A,N/A,N/A,N/A,N/A,N/A
dephostatin,N/A,N/A,N/A,N/A,N/A,N/A
PPP1CB,N/A,N/A,N/A,N/A,N/A,N/A
FBLN5,N/A,N/A,N/A,N/A,N/A,N/A
Gm12602,N/A,N/A,N/A,N/A,N/A,N/A
MI-63,N/A,N/A,N/A,N/A,N/A,N/A
ZC3H8,N/A,N/A,N/A,N/A,N/A,N/A
TNFRSF10D,N/A,N/A,N/A,N/A,N/A,N/A
R-etodolac,N/A,N/A,N/A,N/A,N/A,N/A
"1-chloro-2-(2,2,2-trichloro-1-(4-chlorophenyl)ethyl)benzene",N/A,N/A,N/A,N/A,N/A,N/A
PSD3,N/A,N/A,N/A,N/A,N/A,N/A
ADGRF5,N/A,N/A,N/A,N/A,N/A,N/A
BP-1-102,N/A,N/A,N/A,N/A,N/A,N/A
DES,N/A,N/A,N/A,N/A,N/A,N/A
dexamethasone/tobramycin,N/A,N/A,N/A,N/A,N/A,N/A
mevalonolactone,N/A,N/A,N/A,N/A,N/A,N/A
CALCR,N/A,N/A,N/A,N/A,N/A,N/A
SNW1,N/A,N/A,N/A,N/A,N/A,N/A
RAB11B-AS1,N/A,N/A,N/A,N/A,N/A,N/A
smilagenin,N/A,N/A,N/A,N/A,N/A,N/A
STK25,N/A,0,N/A,N/A,N/A,N/A
riluzole,N/A,N/A,N/A,N/A,N/A,N/A
USP17L22 (includes others),N/A,N/A,N/A,N/A,N/A,N/A
SRP54,N/A,N/A,N/A,N/A,N/A,N/A
TXNDC17,N/A,N/A,N/A,N/A,N/A,0
farnesiferol C,N/A,N/A,N/A,N/A,N/A,N/A
galiximab,N/A,N/A,N/A,N/A,N/A,N/A
NMI801,N/A,N/A,N/A,N/A,N/A,N/A
givinostat,N/A,N/A,N/A,N/A,N/A,N/A
HDC,N/A,N/A,N/A,N/A,N/A,N/A
2-amino-3-phosphonopropionic acid,N/A,N/A,N/A,N/A,N/A,N/A
COP9 signalosome,N/A,N/A,N/A,N/A,N/A,N/A
azithromycin,N/A,N/A,N/A,N/A,N/A,N/A
WDR13,N/A,N/A,N/A,N/A,N/A,N/A
TAB2,N/A,N/A,N/A,N/A,N/A,N/A
IL13RA2,N/A,N/A,N/A,N/A,N/A,N/A
AIMP2,N/A,N/A,N/A,N/A,N/A,N/A
LGALS12,N/A,N/A,N/A,N/A,N/A,N/A
W146,N/A,N/A,N/A,N/A,N/A,N/A
BUB1B,N/A,N/A,N/A,N/A,N/A,N/A
GATAD2B,N/A,N/A,N/A,N/A,N/A,N/A
p38 MAP kinase inhibitor,N/A,N/A,N/A,N/A,N/A,N/A
CHFR,N/A,N/A,N/A,N/A,N/A,N/A
Collagen type V,N/A,N/A,N/A,N/A,N/A,N/A
alpha-methylhydrocinnamic acid,N/A,N/A,N/A,N/A,N/A,N/A
cycloserine,N/A,N/A,N/A,N/A,N/A,N/A
ITGA2B/ITGB3,N/A,N/A,N/A,N/A,N/A,N/A
SLC25A13,N/A,N/A,N/A,N/A,N/A,N/A
PES1,N/A,N/A,N/A,N/A,N/A,N/A
ACKR1,N/A,N/A,N/A,N/A,N/A,N/A
ATP5IF1,N/A,N/A,N/A,N/A,N/A,N/A
PD158780,N/A,N/A,N/A,N/A,N/A,N/A
holothurian glycosaminoglycan,N/A,N/A,N/A,N/A,N/A,N/A
CDCA4,N/A,N/A,N/A,N/A,N/A,N/A
antrodia camphorata polysaccharide,N/A,N/A,N/A,N/A,N/A,N/A
gamma-secretase inhibitor XX,N/A,N/A,N/A,N/A,N/A,N/A
miR-224-5p (miRNAs w/seed AAGUCAC),N/A,N/A,N/A,N/A,N/A,N/A
TAK-448,N/A,N/A,N/A,N/A,N/A,N/A
desloratadine,N/A,N/A,N/A,N/A,N/A,N/A
CLK4,N/A,N/A,N/A,N/A,N/A,N/A
SLC3A2,N/A,N/A,N/A,N/A,N/A,N/A
SNRPD1,N/A,N/A,N/A,N/A,N/A,N/A
HEY1/2,N/A,N/A,N/A,N/A,N/A,N/A
AGXT,N/A,N/A,N/A,N/A,N/A,N/A
imidazole ketone erastin,N/A,N/A,N/A,N/A,N/A,N/A
RUNX3:JAG1 gene,N/A,N/A,N/A,N/A,N/A,N/A
RPS6KB2,N/A,N/A,N/A,N/A,N/A,N/A
low molecular weight hyaluronic acid,N/A,N/A,N/A,N/A,N/A,N/A
GJC1,N/A,N/A,N/A,N/A,N/A,N/A
CREG1,N/A,N/A,N/A,N/A,N/A,N/A
SELENOP,N/A,N/A,N/A,N/A,N/A,N/A
onapristone,N/A,N/A,N/A,N/A,N/A,N/A
CHST11,N/A,N/A,N/A,N/A,N/A,N/A
PSMB5,N/A,N/A,N/A,N/A,N/A,N/A
parathyroid hormone-related protein,N/A,N/A,0,N/A,N/A,N/A
SGO1-AS1,N/A,N/A,N/A,N/A,N/A,N/A
TBX1,N/A,N/A,N/A,N/A,N/A,N/A
HSPH1,N/A,N/A,N/A,N/A,N/A,N/A
YBX3,N/A,N/A,N/A,N/A,N/A,N/A
azoxymethane,N/A,N/A,N/A,N/A,N/A,N/A
CCNDBP1,N/A,N/A,N/A,N/A,N/A,N/A
MACROD1,N/A,N/A,N/A,N/A,N/A,N/A
NFE2L2 gene:MYC,N/A,N/A,N/A,N/A,N/A,N/A
RNASEH2A,N/A,N/A,N/A,N/A,N/A,N/A
6-phenylhexyl isothiocyanate,N/A,N/A,N/A,N/A,N/A,N/A
papaverine,N/A,N/A,N/A,N/A,N/A,N/A
Atg5,N/A,N/A,N/A,N/A,N/A,N/A
I3MT-3,N/A,N/A,N/A,N/A,N/A,N/A
tyrphostin AG 1295,N/A,N/A,N/A,N/A,N/A,N/A
ARID5B,N/A,N/A,N/A,N/A,N/A,N/A
PPP2CB,N/A,N/A,N/A,N/A,N/A,N/A
MRT68921,N/A,N/A,N/A,N/A,N/A,N/A
polyglactin 910,N/A,N/A,N/A,N/A,N/A,N/A
Retnla,N/A,N/A,N/A,N/A,N/A,N/A
MAD2L1,N/A,N/A,N/A,N/A,N/A,N/A
igmesine,N/A,N/A,N/A,N/A,N/A,N/A
SMC1B,N/A,N/A,N/A,N/A,N/A,N/A
NUP133,N/A,N/A,N/A,N/A,N/A,N/A
PHF8,N/A,N/A,N/A,N/A,N/A,N/A
RIF1,N/A,N/A,N/A,N/A,N/A,N/A
ZMYND10,N/A,N/A,N/A,N/A,N/A,N/A
miR-523-3p (miRNAs w/seed AACGCGC),N/A,N/A,N/A,N/A,N/A,N/A
RUNX1:CBFB:SOCS3 gene,N/A,N/A,N/A,N/A,N/A,N/A
STAT1 Dimer,N/A,N/A,N/A,N/A,N/A,N/A
SKLB023,N/A,N/A,N/A,N/A,N/A,N/A
IL20RA,N/A,N/A,N/A,N/A,N/A,N/A
JNK inhibitor IX,N/A,N/A,N/A,N/A,N/A,N/A
NDRG2,N/A,N/A,N/A,N/A,N/A,N/A
PRODH,N/A,N/A,N/A,N/A,N/A,N/A
hexane,N/A,N/A,N/A,N/A,N/A,N/A
propargylamine,N/A,N/A,N/A,N/A,N/A,N/A
CERS4,N/A,N/A,N/A,N/A,N/A,N/A
TFAP2C homodimer:MYC:KDM5B:CDKN1A gene,N/A,N/A,N/A,N/A,N/A,N/A
REM2,N/A,N/A,N/A,N/A,N/A,N/A
procyanidin B2-3'-O-gallate,N/A,N/A,N/A,N/A,N/A,N/A
B7-33,N/A,N/A,N/A,N/A,N/A,N/A
BUB3,N/A,N/A,N/A,N/A,N/A,N/A
bisphosphonate,N/A,N/A,N/A,N/A,N/A,N/A
miR-215-5p inhibitor,N/A,N/A,N/A,N/A,N/A,N/A
CDKL2,N/A,N/A,N/A,N/A,N/A,N/A
ADAMTS7,N/A,N/A,N/A,N/A,N/A,N/A
B2M,N/A,N/A,N/A,N/A,N/A,N/A
HPGD,N/A,N/A,N/A,N/A,N/A,N/A
PK2,N/A,N/A,N/A,N/A,N/A,N/A
Pde4d,N/A,N/A,N/A,N/A,N/A,N/A
TNS4,N/A,N/A,N/A,N/A,N/A,N/A
ATF4:CEBPB gene,N/A,N/A,N/A,N/A,N/A,N/A
NfkB2-RelB,N/A,N/A,N/A,N/A,N/A,N/A
Y-320,N/A,N/A,N/A,N/A,N/A,N/A
ATAD2,N/A,N/A,N/A,N/A,N/A,N/A
TMP269,N/A,N/A,N/A,N/A,N/A,N/A
poly I-C-LyoVec,N/A,N/A,N/A,N/A,N/A,N/A
"palmitoyl-Cys((RS)-2,3-di(palmitoyloxy)-propyl)-Ala-Gly-OH",N/A,N/A,N/A,N/A,N/A,N/A
CD1530,N/A,N/A,N/A,N/A,N/A,N/A
magnesium,N/A,N/A,N/A,N/A,N/A,N/A
"10,12-tricosadiynoic acid",N/A,N/A,N/A,N/A,N/A,N/A
amiloride,N/A,N/A,N/A,N/A,N/A,N/A
HOXD13,N/A,N/A,N/A,N/A,N/A,N/A
TLCD3A,N/A,N/A,N/A,N/A,N/A,N/A
EGR4,N/A,N/A,N/A,N/A,N/A,N/A
DHX29,N/A,N/A,N/A,N/A,N/A,N/A
GLA,N/A,N/A,0,N/A,N/A,N/A
P2RY1,N/A,N/A,N/A,N/A,N/A,N/A
MSI1,N/A,N/A,N/A,N/A,N/A,N/A
proTAME,N/A,N/A,N/A,N/A,N/A,N/A
Anp32e,N/A,N/A,N/A,N/A,N/A,N/A
YE2,N/A,N/A,N/A,N/A,N/A,N/A
GSC,N/A,N/A,N/A,N/A,N/A,N/A
CPSF3,N/A,N/A,0,N/A,N/A,N/A
stevioside,N/A,N/A,N/A,N/A,N/A,N/A
MLN8054,N/A,N/A,N/A,N/A,N/A,N/A
"SREBP1A,2:LSS gene",N/A,N/A,N/A,N/A,N/A,N/A
IKBKB-DT,N/A,N/A,N/A,N/A,N/A,N/A
fingolimod phosphate,N/A,N/A,N/A,N/A,N/A,N/A
RUNX1 mRNA:miR-675 RISC,N/A,N/A,N/A,N/A,N/A,N/A
LZTFL1,N/A,N/A,N/A,N/A,N/A,N/A
parsatuzumab,N/A,N/A,N/A,N/A,N/A,N/A
KREMEN2,N/A,N/A,N/A,N/A,N/A,N/A
CABLES1,N/A,N/A,N/A,N/A,N/A,N/A
GNA002,N/A,N/A,N/A,N/A,N/A,N/A
FA2H,N/A,N/A,N/A,N/A,N/A,N/A
TPPP2,N/A,N/A,N/A,N/A,N/A,N/A
FALEC,N/A,N/A,N/A,N/A,N/A,N/A
TRIB2,N/A,N/A,N/A,N/A,N/A,N/A
NR2E1,N/A,N/A,N/A,N/A,N/A,N/A
"SREBP1A,1C,2:NF-Y:SP1:FDFT1 gene",N/A,N/A,N/A,N/A,N/A,N/A
Integrin alpha 4 beta 1,N/A,N/A,N/A,N/A,N/A,N/A
S100A12,N/A,N/A,N/A,N/A,N/A,N/A
equol,N/A,N/A,N/A,N/A,N/A,N/A
H1-5,N/A,N/A,N/A,N/A,N/A,N/A
RKQ peptide,N/A,N/A,N/A,N/A,N/A,N/A
glycine ethyl ester,N/A,N/A,N/A,N/A,N/A,N/A
BCLAF1,N/A,N/A,N/A,N/A,N/A,N/A
GIMAP1-GIMAP5,N/A,N/A,N/A,N/A,N/A,N/A
"ICI 118,551",N/A,N/A,N/A,N/A,N/A,N/A
persea declinata (bl.) kosterm bark methanolic crude extract,N/A,N/A,N/A,N/A,N/A,N/A
RPL19,N/A,N/A,N/A,N/A,N/A,N/A
LAIR1,N/A,N/A,N/A,N/A,N/A,N/A
MECP2:DLL1 gene,N/A,N/A,N/A,N/A,N/A,N/A
"R,S-N-methylbenzodioxazolylbutanamine",N/A,N/A,N/A,N/A,N/A,N/A
bumetanide,N/A,N/A,N/A,N/A,N/A,N/A
miR-224-3p (and other miRNAs w/seed AAAUGGU),N/A,N/A,N/A,N/A,N/A,N/A
NAB2-STAT6,N/A,N/A,N/A,N/A,N/A,N/A
NKX3-1,N/A,N/A,N/A,N/A,N/A,N/A
ST-4 SEC2 mutant superantigen,N/A,N/A,N/A,N/A,N/A,N/A
RPN2,N/A,N/A,N/A,N/A,N/A,N/A
